source_file,subject_id,rt,stimulus_image,image_idx,response,correct_choice,choices,correct
obj_2afc_679091.csv,679091,589.900000095367,../../images/project_obj_2AFC/im21.png,21,1,2,"[7,2]",True
obj_2afc_679091.csv,679091,996.700000047684,../../images/project_obj_2AFC/im10.png,10,0,1,"[1,9]",True
obj_2afc_679091.csv,679091,770,../../images/project_obj_2AFC/im52.png,52,1,7,"[1,7]",True
obj_2afc_679091.csv,679091,828.800000190735,../../images/project_obj_2AFC/im19.png,19,1,1,"[7,1]",True
obj_2afc_679091.csv,679091,786.100000143051,../../images/project_obj_2AFC/im42.png,42,0,4,"[4,0]",True
obj_2afc_679091.csv,679091,802.799999952316,../../images/project_obj_2AFC/im56.png,56,1,7,"[9,7]",True
obj_2afc_679091.csv,679091,800.799999952316,../../images/project_obj_2AFC/im17.png,17,0,1,"[1,0]",True
obj_2afc_679091.csv,679091,982.100000143051,../../images/project_obj_2AFC/im31.png,31,0,3,"[3,2]",True
obj_2afc_679091.csv,679091,752.700000047684,../../images/project_obj_2AFC/im49.png,49,1,4,"[2,4]",True
obj_2afc_679091.csv,679091,719.5,../../images/project_obj_2AFC/im32.png,32,1,3,"[9,3]",True
obj_2afc_679091.csv,679091,733.5,../../images/project_obj_2AFC/im47.png,47,1,4,"[3,4]",True
obj_2afc_679091.csv,679091,794,../../images/project_obj_2AFC/im38.png,38,0,3,"[3,1]",True
obj_2afc_679091.csv,679091,857.099999904633,../../images/project_obj_2AFC/im55.png,55,1,7,"[9,7]",True
obj_2afc_679091.csv,679091,1153.40000009537,../../images/project_obj_2AFC/im13.png,13,1,1,"[7,1]",True
obj_2afc_679091.csv,679091,743.100000143051,../../images/project_obj_2AFC/im22.png,22,0,2,"[2,9]",True
obj_2afc_679091.csv,679091,801.299999952316,../../images/project_obj_2AFC/im51.png,51,0,7,"[7,0]",True
obj_2afc_679091.csv,679091,818.099999904633,../../images/project_obj_2AFC/im30.png,30,0,3,"[3,7]",True
obj_2afc_679091.csv,679091,701.400000095367,../../images/project_obj_2AFC/im34.png,34,0,3,"[3,1]",True
obj_2afc_679091.csv,679091,727.5,../../images/project_obj_2AFC/im23.png,23,0,2,"[2,3]",True
obj_2afc_679091.csv,679091,776.399999856949,../../images/project_obj_2AFC/im4.png,4,0,0,"[0,9]",True
obj_2afc_679091.csv,679091,819,../../images/project_obj_2AFC/im14.png,14,1,1,"[2,1]",True
obj_2afc_679091.csv,679091,773.399999856949,../../images/project_obj_2AFC/im29.png,29,0,2,"[2,7]",True
obj_2afc_679091.csv,679091,637.100000143051,../../images/project_obj_2AFC/im28.png,28,0,2,"[2,0]",True
obj_2afc_679091.csv,679091,580.300000190735,../../images/project_obj_2AFC/im54.png,54,1,7,"[2,7]",True
obj_2afc_679091.csv,679091,743.600000143051,../../images/project_obj_2AFC/im58.png,58,1,7,"[9,7]",True
obj_2afc_679091.csv,679091,899,../../images/project_obj_2AFC/im18.png,18,1,1,"[7,1]",True
obj_2afc_679091.csv,679091,681.099999904633,../../images/project_obj_2AFC/im59.png,59,1,7,"[1,7]",True
obj_2afc_679091.csv,679091,613.099999904633,../../images/project_obj_2AFC/im20.png,20,1,2,"[0,2]",True
obj_2afc_679091.csv,679091,508.5,../../images/project_obj_2AFC/im25.png,25,1,2,"[9,2]",True
obj_2afc_679091.csv,679091,1578.79999995232,../../images/project_obj_2AFC/im6.png,6,0,0,"[0,9]",True
obj_2afc_679091.csv,679091,708.899999856949,../../images/project_obj_2AFC/im45.png,45,0,4,"[4,7]",True
obj_2afc_679091.csv,679091,601.299999952316,../../images/project_obj_2AFC/im7.png,7,0,0,"[0,9]",True
obj_2afc_679091.csv,679091,696.200000047684,../../images/project_obj_2AFC/im57.png,57,1,7,"[2,7]",True
obj_2afc_679091.csv,679091,700.100000143051,../../images/project_obj_2AFC/im1.png,1,1,0,"[9,0]",True
obj_2afc_679091.csv,679091,955.5,../../images/project_obj_2AFC/im16.png,16,0,1,"[1,0]",True
obj_2afc_679091.csv,679091,676.5,../../images/project_obj_2AFC/im0.png,0,1,0,"[9,0]",True
obj_2afc_679091.csv,679091,1019.30000019073,../../images/project_obj_2AFC/im15.png,15,1,1,"[9,1]",True
obj_2afc_679091.csv,679091,821.900000095367,../../images/project_obj_2AFC/im5.png,5,0,0,"[0,2]",True
obj_2afc_679091.csv,679091,709.599999904633,../../images/project_obj_2AFC/im11.png,11,0,1,"[1,0]",True
obj_2afc_679091.csv,679091,781.900000095367,../../images/project_obj_2AFC/im9.png,9,1,0,"[3,0]",True
obj_2afc_679091.csv,679091,608.900000095367,../../images/project_obj_2AFC/im8.png,8,1,0,"[2,0]",True
obj_2afc_679091.csv,679091,758,../../images/project_obj_2AFC/im12.png,12,0,1,"[1,7]",True
obj_2afc_679091.csv,679091,752.800000190735,../../images/project_obj_2AFC/im43.png,43,0,4,"[4,2]",True
obj_2afc_679091.csv,679091,763.100000143051,../../images/project_obj_2AFC/im37.png,37,1,3,"[0,3]",True
obj_2afc_585252.csv,585252,899.20000000298,../../images/project_obj_2AFC/im39.png,39,1,3,"[1,3]",True
obj_2afc_585252.csv,585252,1121.39999999851,../../images/project_obj_2AFC/im41.png,41,0,4,"[4,0]",True
obj_2afc_585252.csv,585252,924.19999999553,../../images/project_obj_2AFC/im2.png,2,1,0,"[7,0]",True
obj_2afc_585252.csv,585252,971.10000000149,../../images/project_obj_2AFC/im48.png,48,1,4,"[3,4]",True
obj_2afc_585252.csv,585252,991.39999999851,../../images/project_obj_2AFC/im50.png,50,0,7,"[7,1]",True
obj_2afc_585252.csv,585252,973,../../images/project_obj_2AFC/im44.png,44,1,4,"[0,4]",True
obj_2afc_585252.csv,585252,841.10000000149,../../images/project_obj_2AFC/im33.png,33,0,3,"[3,7]",True
obj_2afc_585252.csv,585252,1038.89999999851,../../images/project_obj_2AFC/im35.png,35,1,3,"[0,3]",True
obj_2afc_585252.csv,585252,888.80000000447,../../images/project_obj_2AFC/im40.png,40,1,4,"[2,4]",True
obj_2afc_585252.csv,585252,856.19999999553,../../images/project_obj_2AFC/im27.png,27,1,2,"[1,2]",True
obj_2afc_585252.csv,585252,1074.5,../../images/project_obj_2AFC/im24.png,24,1,2,"[0,2]",True
