source_file,subject_id,trial_index,time_elapsed,rt,stimulus,image_idx,occurrence,is_repeat,repeat_lag,response,correct_response,correct,correct_at_second_occurrence
n_back_313870.csv,313870,131,139402,1114.3999999910593,../../images/project_n_back/im1.png,1,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,133,141252,1346.6000000089407,../../images/project_n_back/im16.png,16,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,135,142568,814.2999999970198,../../images/project_n_back/im0.png,0,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,137,144168,1097.4000000059605,../../images/project_n_back/im15.png,15,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,139,145735,1063.1000000089407,../../images/project_n_back/im20.png,20,2,True,10,0.0,1.0,False,False
n_back_313870.csv,313870,141,147184,947.3000000119208,../../images/project_n_back/im5.png,5,1,False,0,1.0,0.0,False,
n_back_313870.csv,313870,143,148618,931.2999999970198,../../images/project_n_back/im11.png,11,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,145,150152,1030.699999988079,../../images/project_n_back/im9.png,9,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,147,151685,1031.0,../../images/project_n_back/im8.png,8,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,149,153235,1047.6000000089407,../../images/project_n_back/im12.png,12,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,151,154468,729.4000000059605,../../images/project_n_back/im1.png,1,2,True,10,0.0,1.0,False,False
n_back_313870.csv,313870,153,156035,1064.2999999970198,../../images/project_n_back/im43.png,43,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,155,158185,1646.4000000059605,../../images/project_n_back/im0.png,0,2,True,10,1.0,1.0,True,True
n_back_313870.csv,313870,157,159735,1046.9000000059605,../../images/project_n_back/im37.png,37,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,159,161601,1363.8999999910593,../../images/project_n_back/im11.png,11,2,True,8,0.0,1.0,False,False
n_back_313870.csv,313870,161,164018,1914.20000000298,../../images/project_n_back/im12.png,12,2,True,6,0.0,1.0,False,False
n_back_857609.csv,857609,7,21697,2151.0,../../images/project_n_back/im39.png,39,1,False,0,0.0,0.0,True,
n_back_857609.csv,857609,9,23572,1366.0,../../images/project_n_back/im41.png,41,1,False,0,0.0,0.0,True,
n_back_857609.csv,857609,11,24930,851.0,../../images/project_n_back/im2.png,2,1,False,0,0.0,0.0,True,
n_back_857609.csv,857609,13,26288,816.0,../../images/project_n_back/im48.png,48,1,False,0,0.0,0.0,True,
n_back_857609.csv,857609,15,27649,853.0,../../images/project_n_back/im50.png,50,1,False,0,0.0,0.0,True,
n_back_857609.csv,857609,17,29107,951.0,../../images/project_n_back/im44.png,44,1,False,0,0.0,0.0,True,
n_back_857609.csv,857609,19,30586,971.0,../../images/project_n_back/im33.png,33,1,False,0,1.0,0.0,False,
n_back_857609.csv,857609,21,32929,1835.0,../../images/project_n_back/im35.png,35,1,False,0,0.0,0.0,True,
n_back_857609.csv,857609,23,34491,1053.0,../../images/project_n_back/im40.png,40,1,False,0,1.0,0.0,False,
n_back_857609.csv,857609,25,35799,802.0,../../images/project_n_back/im27.png,27,1,False,0,0.0,0.0,True,
n_back_857609.csv,857609,27,37153,846.0,../../images/project_n_back/im24.png,24,1,False,0,0.0,0.0,True,
n_back_857609.csv,857609,29,39712,2033.0,../../images/project_n_back/im41.png,41,2,True,10,0.0,1.0,False,False
n_back_857609.csv,857609,31,41239,1023.0,../../images/project_n_back/im2.png,2,2,True,10,1.0,1.0,True,True
n_back_857609.csv,857609,33,43291,1544.0,../../images/project_n_back/im53.png,53,1,False,0,0.0,0.0,True,
n_back_857609.csv,857609,35,45346,1552.0,../../images/project_n_back/im50.png,50,2,True,10,1.0,1.0,True,True
n_back_857609.csv,857609,37,47150,1297.0,../../images/project_n_back/im46.png,46,1,False,0,0.0,0.0,True,
n_back_857609.csv,857609,39,49116,1459.0,../../images/project_n_back/im3.png,3,1,False,0,0.0,0.0,True,
n_back_857609.csv,857609,41,51186,1563.0,../../images/project_n_back/im26.png,26,1,False,0,0.0,0.0,True,
n_back_857609.csv,857609,43,52617,926.0,../../images/project_n_back/im40.png,40,2,True,10,1.0,1.0,True,True
n_back_857609.csv,857609,45,54348,1223.0,../../images/project_n_back/im36.png,36,1,False,0,1.0,0.0,False,
