subject_id,reactionTime,choices_1,choices_2,correct,image_idx
190730,1128.40000000037,5,1,1,24
190730,894,9,6,1,191
190730,1358.79999999888,6,7,1,130
190730,1326,9,1,1,31
190730,1083.09999999963,2,0,1,8
190730,1160.29999999888,6,2,1,122
190730,908,3,7,1,63
190730,1283.80000000075,2,3,1,63
190730,1194.90000000037,2,3,1,76
190730,1093.5,9,8,1,172
190730,1060.79999999888,3,1,1,24
190730,963.199999999255,6,2,1,120
190730,1049.79999999888,7,2,1,140
190730,706.599999999627,1,8,1,24
190730,768,7,9,1,140
190730,1084.90000000037,1,0,1,22
190730,763.099999999627,7,5,1,140
190730,1661.30000000075,3,6,1,130
190730,935.099999999627,2,0,1,18
190730,864.800000000745,8,3,1,173
190730,1007.90000000037,4,5,1,102
190730,976.699999999255,6,2,1,41
190730,1161,9,8,1,161
190730,1084.70000000112,0,5,1,101
190730,1109.29999999888,2,1,1,44
190730,1299.5,0,8,1,163
871576,890.800000000745,7,9,1,144
871576,687.39999999851,2,6,1,123
871576,719.199999999255,5,4,1,103
871576,689.300000000745,4,6,1,81
871576,456.699999999255,7,0,1,144
871576,817.300000000745,2,4,1,85
871576,NaN,6,8,NaN,122
871576,681,6,4,1,81
871576,2449.70000000298,2,4,1,86
871576,659.099999997765,1,4,1,24
871576,735.5,6,3,1,63
871576,783.400000002235,4,8,1,161
871576,411.60000000149,6,1,1,31
871576,1241.80000000075,4,3,1,76
871576,458.5,6,9,1,187
871576,583.70000000298,3,4,1,86
871576,691.39999999851,9,7,1,144
871576,1191.90000000224,4,6,1,87
871576,881.89999999851,6,1,1,130
871576,762,3,4,1,87
871576,951.699999999255,1,3,1,31
871576,NaN,8,5,NaN,102
871576,1137.10000000149,0,3,1,63
871576,681.10000000149,9,0,1,18
871576,856.599999997765,7,8,1,144
871576,612.300000000745,9,8,1,180
871576,942.29999999702,1,4,1,85
871576,739.199999999255,8,0,1,8
871576,947.10000000149,6,5,1,130
871576,813.39999999851,4,5,1,101
871576,622.699999999255,0,7,1,143
871576,788.400000002235,7,0,1,142
871576,897.699999999255,1,8,1,25
871576,513.199999999255,0,6,1,123
871576,873.79999999702,1,0,1,2
871576,840.5,7,3,1,76
871576,615,7,6,1,140
871576,882.099999997765,5,8,1,105
871576,818.5,1,9,1,24
871576,912.599999997765,2,9,1,46
871576,726.29999999702,2,5,1,41
871576,796.599999997765,8,5,1,105
871576,727.400000002235,4,9,1,199
871576,1515.40000000224,3,4,1,63
871576,701.89999999851,6,4,1,130
871576,1130,8,6,1,130
871576,657,7,3,1,68
871576,708.599999997765,8,0,1,161
